model;;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL
train;;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max
program;version;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lang;43;4;2;1;2;12;4.2;4.494441010848846;1;12;39;249;222;273;86;173.8;104.52128969736262;39;273;2;2;7;2;3;3.2;2.16794833886788;2;7
Lang;44;31;8;5;19;10;14.6;10.549881515922346;5;31;165;53.5;132;143;105;119.7;42.85090430784396;53.5;165;28;22;18;23;25;23.2;3.7013511046643495;18;28
Lang;45;8;13;4;22;21;13.6;7.893034904268446;4;22;161;332;787;681;74;407.0;314.84361197267447;74;787;11;19;17;18;20;17.0;3.5355339059327378;11;20
Lang;46;1;1;1;1;1;1.0;0.0;1;1;67.5;2;96;80;47;58.5;36.31115531073061;2;96;6;5;3;7;4;5.0;1.5811388300841898;3;7
Lang;47;4;5;2;2;3;3.2;1.3038404810405297;2;5;83;318;53;347.5;103;180.9;140.145638533634;53;347.5;2;2;3;5;2;2.8;1.3038404810405297;2;5
Lang;48;2;1;2;2;2;1.8;0.44721359549995804;1;2;154.5;178;165;165.5;146;161.8;12.13775102727025;146;178;18;9;16;16;16;15.0;3.4641016151377544;9;18
Lang;49;2;4;3;7;2;3.6;2.0736441353327724;2;7;66;102;99;72.5;130;93.9;25.647611974606914;66;130;3;3;4;5;2;3.4;1.140175425099138;2;5
Lang;50;4;7;12;11;16;10.0;4.636809247747852;4;16;334.5;88.5;319;138;262;228.4;109.93031883879898;88.5;334.5;5;14;4;22;11;11.2;7.328028384224504;4;22
Lang;51;5;6;9;11;7;7.6;2.4083189157584592;5;11;16;44;50.5;30;52.5;38.6;15.400487005286553;16;52.5;5;15;11;12;8;10.2;3.8340579025361627;5;15
Lang;52;3;40;141;13;31;45.6;55.27929087823035;3;141;72.5;87;80;209;151;119.9;58.79455757125824;72.5;209;25;65;41;26;119;55.2;39.156097864828155;25;119
Lang;53;180;203;154;141;163;168.2;24.07695994098923;141;203;111;156;148;56;99;114.0;40.367065783878814;56;156;84;181;118;158;73;122.8;46.461812276319996;73;181
