model;;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS
train;;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max
program;version;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lang;52;7;11;78;12;47;31.0;30.83018001893599;7;78;175;165;160;166;59.5;145.1;48.15651565468581;59.5;175;31;45;50;28;96;50.0;27.3221521846285;28;96
Lang;53;184;191;195;199;192;192.2;5.540758070878027;184;199;148.5;190;163;183;179;172.7;16.769019053003667;148.5;190;119;176;142;164;130;146.2;23.583892808440257;119;176
Lang;54;2;3;2;4;2;2.6;0.8944271909999159;2;4;23.5;27;18.5;65;60;38.8;21.916318121436362;18.5;65;2;3;3;1;3;2.4;0.8944271909999159;1;3
Lang;55;8;17;7;6;9;9.4;4.39317652729776;6;17;6;38;14;39.5;4;20.3;17.26122822976395;4;39.5;9;6;6;3;6;6.0;2.1213203435596424;3;9
Lang;56;84;241;98;265;97;157.0;88.21847878987712;84;265;77;123;2;160;209;114.2;79.26979248112107;2;209;183;398;364;332;293;314.0;82.88847929597937;183;398
Lang;57;6;4;4;5;6;5.0;1.0;4;6;99;106;125;138;99;113.4;17.386776584519627;99;138;6;6;7;5;8;6.4;1.140175425099138;5;8
Lang;58;24;12;11;13;11;14.2;5.540758070878027;11;24;331;659;97;903;575;513.0;309.61266123981426;97;903;9;2;3;14;6;6.8;4.868264577855234;2;14
Lang;59;1;4;4;6;2;3.4;1.949358868961793;1;6;123;340.5;380;9;430;256.5;181.30705998388478;9;430;5;5;6;5;4;5.0;0.7071067811865476;4;6
Lang;60;1;2;2;3;4;2.4;1.140175425099138;1;4;255.5;149;278.5;67.5;152;180.5;86.31700296001941;67.5;278.5;19;12;8;10;11;12.0;4.183300132670378;8;19
Lang;61;16;19;13;13;23;16.8;4.266145801540309;13;23;274;95;119.5;258;265;202.3;87.38392300646612;95;274;1;3;1;4;3;2.4;1.3416407864998738;1;4
Lang;62;182;100;38;91;155;113.2;56.574729340934546;38;182;120;228.5;228.5;94.5;253;184.9;72.1520962966427;94.5;253;30;31;28;34;31;30.8;2.16794833886788;28;34
Lang;63;1;3;1;2;2;1.8;0.8366600265340756;1;3;315;347;341;67;30;220.0;157.56268593801008;30;347;2;2;1;1;5;2.2;1.6431676725154984;1;5
Lang;64;1;1;1;1;1;1.0;0.0;1;1;394;317.5;242;421;330.5;341.0;70.1293447851896;242;421;5;5;5;5;2;4.4;1.3416407864998738;2;5
Lang;65;14;11;15;4;14;11.6;4.505552130427524;4;15;51;15;14;55;3;27.6;23.70232056149777;3;55;12;16;19;14;9;14.0;3.8078865529319543;9;19
