model;;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL
train;;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max
program;version;;;;;;;;;;;;;;;;;;;;;;;;;;;
Math;29;646;42;30;186;39;188.6;263.7457108655987;30;646;1022;1715;2175;2797;1832;1908.2;649.928996121884;1022;2797;847;161;118;487;19;326.4;339.8893937739158;19;847
Math;30;67;108;17;47;17;51.2;38.186385008272254;17;108;2431;1119;2504;2267;2554;2175.0;600.212045863793;1119;2554;1931;822;588;210;898;889.8;640.6974324905634;210;1931
Math;31;230;53;20;3;88;78.8;90.57427890963305;3;230;301.5;2935;2333;2744;504;1763.5;1263.1218270618238;301.5;2935;284;93;1353;271;1090;618.2;563.6042050943197;93;1353
Math;32;587;649;1225;2690;3243;1678.8;1217.3430905048913;587;3243;2485;1419;2855;2825;1176;2152.0;798.1058826997831;1176;2855;273;2811;1960;928;2103;1615.0;1007.5363517015155;273;2811
Math;33;5328;5570;2612;4818;2559;4177.4;1478.4518253903304;2559;5570;5441;4483;3604;4809;670;3801.4;1871.680875576817;670;5441;5359;5373;5394;5394;5399;5383.8;17.108477430794363;5359;5399
Math;34;66;53;1;1;15;27.2;30.38420642373271;1;66;30;162;27.5;130;153;100.5;66.53570470055908;27.5;162;52;32;84;39;51;51.6;19.957454747537323;32;84
Math;35;77;210;234;154;72;149.4;74.30208610799565;72;234;154;241;95;321;141.5;190.5;90.04720984017217;95;321;250;258;486;218;452;332.8;125.80620016517469;218;486
Math;36;37;71;53;145;265;114.2;93.8892965145655;37;265;628;438;264;245;94.5;333.9;204.59301063330585;94.5;628;7;58;151;206;329;150.2;126.58080423192135;7;329
Math;37;13;34;27;117;325;103.2;130.495976949483;13;325;1117;515;1527;144;173;695.2;608.0281243495239;144;1527;569;348;65;129;490;320.2;219.7673770148791;65;569
Math;38;9;2;1;1;17;6.0;7.0;1;17;3017;2329;775.5;510.5;1119;1550.2;1075.3024342016529;510.5;3017;2651;961;1559;400;290;1172.2;968.9735290502006;290;2651
Math;39;987;2188;828;453;2118;1314.8;789.7364750345523;453;2188;862;675;2182;1091;1686.5;1299.3;623.1881337124448;675;2182;2190;2415;2426;2434;2055;2304.0;172.55578808026115;2055;2434
Math;40;1334;922;64;1331.5;173;764.9;614.6538049992045;64;1334;1809;231;319;557;265.5;636.3;667.8236668462716;231;1809;370;962;1037;1564;1217;1030.0;436.004013742993;370;1564
Math;41;665;49;1053;726;1038;706.2;407.5422677465492;49;1053;312;1611;1000;249;1210;876.4;587.0224016168378;249;1611;522;1528;268;497;166;596.2;542.3063709749314;166;1528
Math;42;3047;5209;4119;5638;3928;4388.2;1039.0840678212712;3047;5638;3625;2091;865;2478;2190;2249.8;986.1179949681477;865;3625;5088;5480;5396;5560;5450;5394.8;181.4695566754931;5088;5560
Math;43;1570;268;206;214;333;518.2;590.1670949824296;206;1570;419;381;2189;2160;2015;1432.8;945.2101353667342;381;2189;1241;1484;1770;458;1041;1198.8;495.7506429647873;458;1770
Math;44;345;784;485;89;977;536.0;351.7371177456255;89;977;240;782;191;726;288.5;445.5;284.4125524656041;191;782;1075;1483;921;1164;1769;1282.4;340.83104318709;921;1769
Math;45;270;36;83;18;33;88.0;104.61596436490943;18;270;1198;1356;632;763;587;907.2;348.2250708952473;587;1356;1053;1019;1015;169;1259;903.0;422.4902365735805;169;1259
Math;46;204;13;166;1;1202;317.2;502.75908743651763;1;1202;355.5;2354;1990;1715;221.5;1327.2;976.0615118935896;221.5;2354;1295;1821;2130;635;1550;1486.2;568.2734377040687;635;2130
Math;47;17;73;33;8;460;118.2;192.68808992773788;8;460;2325;399;2428;2331;2247;1946.0;867.1793355471519;399;2428;1495;1124;1655;1528;1984;1557.2;309.8817516408477;1124;1984
Math;48;2063.5;1578;739;2382;1385;1629.5;634.435772951053;739;2382;2121;1601;1767;525;1093;1421.4;622.9998394863356;525;2121;2445;2040;2315;1582;1086;1893.6;559.5456192304609;1086;2445
Math;49;361;430;114;293;38;247.2;165.8092277287365;38;430;2409;1423;2280;2296;2401;2161.8;417.1722665758116;1423;2409;203;101;1031;287;816;487.6;410.4348913043334;101;1031
Math;50;856;347;60;596;87;389.2;339.9068990179517;60;856;2674;2871;1057;418;1368;1677.6;1058.8443228350427;418;2871;2420;2353;55;1603;916;1469.4;1001.126515481435;55;2420
Math;51;1030;1330;1601;1579;1487;1405.4;235.40666940424606;1030;1601;1856;1324;503;366;1673;1144.4;677.3753021774562;366;1856;2300;1546;1945;1947;832;1714.0;560.6233138213215;832;2300
Math;52;269;4;212;494;743;344.4;282.99699645049236;4;743;1140;488;1377;1178;343;905.2;458.8765629229717;343;1377;491;450;267;325;229;352.4;114.02543575886916;229;491
Math;53;375;628;564;652;429;529.6;122.3409171127959;375;652;89.5;103.5;90.5;422;584;257.9;231.02526918066778;89.5;584;533;693;725;755;677;676.6;85.70180861568792;533;755
Math;54;657;1329;1044;654;1168;970.4;304.7069083562104;654;1329;1391;1282;1296;1802;337;1221.6;537.8803770356379;337;1802;788;1847;744;1803;167;1069.8;731.8173952564944;167;1847
Math;55;366;175.5;1;4;136;136.5;150.08997301618786;1;366;1611;236.5;1504;2021;271;1128.7;821.7865903018861;236.5;2021;709;450;817;871;1693;908.0;467.7713116470483;450;1693
Math;56;2;6;6;3;1;3.6;2.3021728866442674;1;6;1678;261;584;2021;712;1051.2;756.8254091928997;261;2021;15;37;23;45;29;29.8;11.713240371477058;15;45
Math;57;477;7;87;40;20;126.2;198.44067123450276;7;477;365;510.5;1092;1880;1188;1007.1;604.3159769524549;365;1880;1456;474;150;2557;82;943.8;1055.7334890965617;82;2557
Math;58;2131;1394;717;2354;2732;1865.6;806.4287321270244;717;2732;523;1423;2404;1901;531;1356.4;832.8161862019734;523;2404;2827;2827;2539;2837;2776;2761.2;126.48794408954555;2539;2837
Math;59;874;1392;1708;1445;2480.5;1579.9;587.2157184544706;874;2480.5;2086;1816;334;1525;2187;1589.6;747.5394972842572;334;2187;4;3;4;4;4;3.8;0.44721359549995787;3;4
Math;60;187;131;289;199;24;166.0;97.52948272189288;24;289;490;1614;2020;2019;2019;1632.4;662.300762493899;490;2020;311;130;477;275;313;301.2;123.62928455669392;130;477
Math;61;63;4;241;135.5;58;100.3;91.50109288964804;4;241;802;1255;1496;1716;422;1138.2;524.7591828639114;422;1716;2176;30;262.5;20;1784;854.5;1041.2716984533863;20;2176
