model;;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS
train;;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max
program;version;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lang;60;173;100;234;67;415;197.8;137.63611444675414;67;415;94.5;249;94.5;573;430;288.2;210.82830692295568;94.5;573;483;193;83;124;11;178.8;182.39846490582096;11;483
Lang;61;17;22;14;198;43;58.8;78.63650551747578;14;198;143;807;71;787;604;482.4;352.6241625300229;71;807;315;346;256;494;804;443.0;220.04772209682153;256;804
Lang;62;161;113;17;13;74;75.6;63.33877169633146;13;161;98;57.5;187;48.5;170;112.2;63.614660260037546;48.5;187;7;13;69;3;62;30.8;31.971862629505967;3;69
Lang;63;1;4;1;2;2;2.0;1.224744871391589;1;4;170.5;285;228;199;287;233.9;51.72813547770691;170.5;287;2;2;2;1;3;2.0;0.7071067811865476;1;3
Lang;64;592;30;227;2;180;206.2;235.9580471185503;2;592;457;422;726;447;401;490.6;133.39527727772074;401;726;997;54;508;404;349;462.4;343.1243214929539;54;997
Lang;65;12;2;15;2;18;9.8;7.429670248402684;2;18;58;48;44.5;44.5;98;58.6;22.708478592807577;44.5;98;17;11;14;8;11;12.2;3.420526275297414;8;17
Math;1;225;595;685;1514;1234;850.6;517.5000483091766;225;1514;315.5;769;976;826;317.5;640.8;305.5471731173437;315.5;976;568;961;44;677;802;610.4;348.8098335769793;44;961
Math;2;269;176;56;133;70;140.8;86.51416069060602;56;269;1171;412;1828;1109;868;1077.6;514.7244894115686;412;1828;823;220;1027;592;390;610.4;324.0683569866086;220;1027
Math;3;7;29;4;13;2;11.0;10.88577052853862;2;29;475;436;443;421;501;455.2;32.31408361689992;421;501;19;95;171;392;79;151.2;145.107546323408;19;392
Math;4;11;18;67;64;22;36.4;26.87563952727451;11;67;1586;1194;392.5;522;2471;1233.1;847.1622040672023;392.5;2471;57;110;1266;136;46;323.0;528.4581345764298;46;1266
Math;5;12;130;175;35;158;102.0;73.88842940542179;12;175;64;98;198;38;16;82.8;71.28253643074157;16;198;99;72;150;13;26;72.0;55.70008976653449;13;150
Math;7;107;82;621;140;520.5;294.1;255.86138825543802;82;621;442;883;2344;1900;1482;1410.2;763.6086694112372;442;2344;370;283;306;124;847;386.0;273.1437350553734;124;847
Math;8;5;2;3;133;3;29.2;58.036195602399715;2;133;734;438;120.5;595;538;485.1;230.20599470908658;120.5;734;68;332;10;203;20;126.6;138.22011431047218;10;332
Math;9;209;6;63;155;183;123.2;85.59906541545884;6;209;2140;1994;1686;2005;1779;1920.8;184.21102030008956;1686;2140;188;228;1779;1445;1484;1024.8;756.8643867959438;188;1779
Math;10;813;378;107;1076;1089;692.6;436.040479772234;107;1089;285.5;2065;1220;2146;171.5;1177.6;940.1003536857116;171.5;2146;476;993;836;771;1497;914.6;375.66780538129694;476;1497
